mass_50,,,,mass_100,,,,mass_150,,,,mass_200,,,,mass_300,,
t,x,y,,t,x,y,,t,x,y,,t,x,y,,t,x,y
5.33E-01,6.12E-04,3.73E-02,,6.67E-02,1.68E-02,9.51E-03,,6.67E-02,2.26E-02,1.55E-02,,6.67E-02,3.15E-02,2.02E-02,,6.67E-02,4.17E-02,3.41E-02
6.00E-01,2.42E-03,1.37E-02,,1.33E-01,1.71E-02,1.22E-02,,1.33E-01,2.34E-02,1.05E-03,,1.33E-01,3.16E-02,3.30E-02,,1.33E-01,4.16E-02,3.95E-03
6.67E-01,1.82E-03,4.59E-04,,2.00E-01,1.75E-02,2.68E-02,,2.00E-01,2.49E-02,-3.31E-02,,2.00E-01,3.18E-02,4.78E-02,,2.00E-01,4.16E-02,-4.25E-02
7.33E-01,2.42E-03,1.67E-03,,2.67E-01,1.84E-02,4.98E-02,,2.67E-01,2.58E-02,-6.53E-02,,2.67E-01,3.31E-02,4.81E-02,,2.67E-01,4.16E-02,-6.53E-02
8.00E-01,6.12E-04,1.92E-02,,3.33E-01,1.90E-02,7.71E-02,,3.33E-01,2.63E-02,-9.26E-02,,3.33E-01,3.39E-02,3.35E-02,,3.33E-01,4.16E-02,-6.25E-02
8.67E-01,6.78E-04,4.57E-02,,4.00E-01,1.92E-02,1.01E-01,,4.00E-01,2.67E-02,-1.08E-01,,4.00E-01,3.49E-02,4.23E-03,,4.00E-01,4.16E-02,-3.46E-02
9.33E-01,3.39E-04,7.01E-02,,4.67E-01,1.93E-02,1.15E-01,,4.67E-01,2.53E-02,-1.09E-01,,4.67E-01,3.61E-02,-3.21E-02,,4.67E-01,4.12E-02,1.52E-02
1.00E+00,3.39E-04,8.47E-02,,5.33E-01,1.92E-02,1.18E-01,,5.33E-01,2.28E-02,-9.64E-02,,5.33E-01,3.73E-02,-7.26E-02,,5.33E-01,4.04E-02,8.21E-02
1.07E+00,1.02E-03,8.37E-02,,6.00E-01,1.90E-02,1.07E-01,,6.00E-01,2.05E-02,-7.20E-02,,6.00E-01,3.80E-02,-1.10E-01,,6.00E-01,3.98E-02,1.59E-01
1.13E+00,6.78E-04,6.78E-02,,6.67E-01,1.89E-02,8.57E-02,,6.67E-01,1.82E-02,-4.05E-02,,6.67E-01,3.83E-02,-1.40E-01,,6.67E-01,3.97E-02,2.37E-01
1.20E+00,1.36E-03,4.44E-02,,7.33E-01,1.86E-02,5.84E-02,,7.33E-01,1.61E-02,-7.00E-03,,7.33E-01,3.82E-02,-1.57E-01,,7.33E-01,3.96E-02,3.09E-01
1.27E+00,1.69E-03,1.80E-02,,8.00E-01,1.80E-02,3.28E-02,,8.00E-01,1.46E-02,2.26E-02,,8.00E-01,3.80E-02,-1.59E-01,,8.00E-01,3.93E-02,3.66E-01
1.33E+00,2.37E-03,2.71E-03,,8.67E-01,1.70E-02,1.58E-02,,8.67E-01,1.33E-02,4.11E-02,,8.67E-01,3.77E-02,-1.46E-01,,8.67E-01,3.92E-02,4.04E-01
1.40E+00,1.02E-03,2.37E-03,,9.33E-01,1.66E-02,9.31E-03,,9.33E-01,1.21E-02,4.67E-02,,9.33E-01,3.63E-02,-1.20E-01,,9.33E-01,3.93E-02,4.18E-01
1.47E+00,6.78E-04,1.86E-02,,1.00E+00,1.63E-02,1.58E-02,,1.00E+00,1.15E-02,3.82E-02,,1.00E+00,3.55E-02,-8.44E-02,,1.00E+00,3.95E-02,4.05E-01
1.53E+00,0.00E+00,4.40E-02,,1.07E+00,1.63E-02,3.44E-02,,1.07E+00,1.19E-02,1.75E-02,,1.07E+00,3.41E-02,-4.32E-02,,1.07E+00,3.97E-02,3.68E-01
1.60E+00,1.02E-03,6.71E-02,,1.13E+00,1.64E-02,5.99E-02,,1.13E+00,1.36E-02,-1.33E-02,,1.13E+00,3.33E-02,-5.24E-03,,1.13E+00,4.00E-02,3.12E-01
1.67E+00,0.00E+00,8.23E-02,,1.20E+00,1.65E-02,8.58E-02,,1.20E+00,1.58E-02,-4.72E-02,,1.20E+00,3.22E-02,2.56E-02,,1.20E+00,4.03E-02,2.40E-01
1.73E+00,6.78E-04,8.23E-02,,1.27E+00,1.67E-02,1.07E-01,,1.27E+00,1.83E-02,-7.78E-02,,1.27E+00,3.15E-02,4.47E-02,,1.27E+00,4.03E-02,1.62E-01
1.80E+00,3.39E-04,6.81E-02,,1.33E+00,1.70E-02,1.18E-01,,1.33E+00,2.06E-02,-9.92E-02,,1.33E+00,3.11E-02,4.90E-02,,1.33E+00,4.04E-02,8.47E-02
1.87E+00,6.78E-04,4.44E-02,,1.40E+00,1.75E-02,1.15E-01,,1.40E+00,2.26E-02,-1.09E-01,,1.40E+00,3.12E-02,3.77E-02,,1.40E+00,4.08E-02,1.74E-02
1.93E+00,6.78E-04,1.93E-02,,1.47E+00,1.86E-02,9.92E-02,,1.47E+00,2.42E-02,-1.05E-01,,1.47E+00,3.14E-02,1.21E-02,,1.47E+00,4.16E-02,-3.35E-02
2.00E+00,6.78E-04,2.71E-03,,1.53E+00,1.90E-02,7.56E-02,,1.53E+00,2.54E-02,-8.56E-02,,1.53E+00,3.19E-02,-2.26E-02,,1.53E+00,4.17E-02,-6.29E-02
2.07E+00,1.02E-03,2.37E-03,,1.60E+00,1.93E-02,4.94E-02,,1.60E+00,2.67E-02,-5.74E-02,,1.60E+00,3.28E-02,-6.27E-02,,1.60E+00,4.17E-02,-6.68E-02
2.13E+00,6.78E-04,1.86E-02,,1.67E+00,1.92E-02,2.61E-02,,1.67E+00,2.69E-02,-2.42E-02,,1.67E+00,3.39E-02,-1.01E-01,,1.67E+00,4.14E-02,-4.48E-02
2.20E+00,0.00E+00,4.23E-02,,1.73E+00,1.90E-02,1.22E-02,,1.73E+00,2.67E-02,7.33E-03,,1.73E+00,3.46E-02,-1.34E-01,,1.73E+00,4.14E-02,-4.89E-04
2.27E+00,1.02E-03,6.64E-02,,1.80E+00,1.89E-02,1.07E-02,,1.80E+00,2.49E-02,3.29E-02,,1.80E+00,3.57E-02,-1.54E-01,,1.80E+00,4.15E-02,6.22E-02
2.33E+00,3.39E-04,8.27E-02,,1.87E+00,1.87E-02,2.22E-02,,1.87E+00,2.27E-02,4.64E-02,,1.87E+00,3.66E-02,-1.61E-01,,1.87E+00,4.13E-02,1.37E-01
2.40E+00,3.39E-04,8.44E-02,,1.93E+00,1.85E-02,4.34E-02,,1.93E+00,2.04E-02,4.55E-02,,1.93E+00,3.77E-02,-1.52E-01,,1.93E+00,4.07E-02,2.16E-01
2.47E+00,6.78E-04,6.94E-02,,2.00E+00,1.75E-02,7.06E-02,,2.00E+00,1.84E-02,3.05E-02,,2.00E+00,3.80E-02,-1.29E-01,,2.00E+00,4.03E-02,2.89E-01
2.53E+00,-6.78E-04,4.51E-02,,2.07E+00,1.68E-02,9.50E-02,,2.07E+00,1.67E-02,5.22E-03,,2.07E+00,3.81E-02,-9.49E-02,,2.07E+00,3.96E-02,3.50E-01
2.60E+00,3.39E-04,2.07E-02,,2.13E+00,1.63E-02,1.11E-01,,2.13E+00,1.54E-02,-2.79E-02,,2.13E+00,3.80E-02,-5.54E-02,,2.13E+00,3.93E-02,3.93E-01
2.67E+00,0.00E+00,2.71E-03,,2.20E+00,1.61E-02,1.16E-01,,2.20E+00,1.42E-02,-6.05E-02,,2.20E+00,3.78E-02,-1.65E-02,,2.20E+00,3.94E-02,4.14E-01
2.73E+00,0.00E+00,1.36E-03,,2.27E+00,1.57E-02,1.10E-01,,2.27E+00,1.35E-02,-8.85E-02,,2.27E+00,3.71E-02,1.62E-02,,2.27E+00,3.94E-02,4.08E-01
2.80E+00,3.39E-04,1.46E-02,,2.33E+00,1.60E-02,9.01E-02,,2.33E+00,1.37E-02,-1.05E-01,,2.33E+00,3.62E-02,3.98E-02,,2.33E+00,3.95E-02,3.77E-01
2.87E+00,6.78E-04,3.73E-02,,2.40E+00,1.66E-02,6.47E-02,,2.40E+00,1.44E-02,-1.08E-01,,2.40E+00,3.55E-02,4.80E-02,,2.40E+00,3.96E-02,3.26E-01
2.93E+00,1.02E-03,6.40E-02,,2.47E+00,1.70E-02,3.91E-02,,2.47E+00,1.61E-02,-9.83E-02,,2.47E+00,3.42E-02,4.10E-02,,2.47E+00,3.96E-02,2.58E-01
3.00E+00,6.78E-04,8.16E-02,,2.53E+00,1.74E-02,1.96E-02,,2.53E+00,1.84E-02,-7.48E-02,,2.53E+00,3.36E-02,1.97E-02,,2.53E+00,3.98E-02,1.81E-01
3.07E+00,3.39E-04,8.44E-02,,2.60E+00,1.80E-02,9.23E-03,,2.60E+00,2.04E-02,-4.36E-02,,2.60E+00,3.29E-02,-1.30E-02,,2.60E+00,4.03E-02,1.03E-01
3.13E+00,6.78E-04,7.18E-02,,2.67E+00,1.86E-02,1.28E-02,,2.67E+00,2.24E-02,-1.05E-02,,2.67E+00,3.26E-02,-5.15E-02,,2.67E+00,4.10E-02,3.22E-02
